ID,SRC_IP,DST_IP,TOS,TTL,LEN,PROTOCOLO,PUERTO_ORIGEN,PUERTO_DESTINO,ICMP_TYPE,ICMP_CODE,FLAGS
54577,3.218.122.15,192.168.1.73,0,249,40,TCP,443,52571,-1,-1,-A---
280,192.168.1.73,3.218.122.15,0,128,40,TCP,52571,443,-1,-1,-A---
33847,3.226.121.246,192.168.1.73,0,249,40,TCP,443,61706,-1,-1,-AF--
48145,135.125.170.106,192.168.1.73,0,50,119,TCP,443,56541,-1,-1,-A---
48146,135.125.170.106,192.168.1.73,0,50,119,TCP,443,56541,-1,-1,-A---
48147,135.125.170.106,192.168.1.73,0,50,89,TCP,443,56541,-1,-1,-A---
4606,192.168.1.73,135.125.170.106,0,128,40,TCP,56541,443,-1,-1,-A---
48148,135.125.170.106,192.168.1.73,0,50,71,TCP,443,56541,-1,-1,-A---
48149,135.125.170.106,192.168.1.73,0,50,40,TCP,443,56541,-1,-1,-A---
48150,135.125.170.106,192.168.1.73,0,50,371,TCP,443,56541,-1,-1,-A---
48151,135.125.170.106,192.168.1.73,0,50,90,TCP,443,56541,-1,-1,-A---
4607,192.168.1.73,135.125.170.106,0,128,71,TCP,56541,443,-1,-1,-A---
4608,192.168.1.73,135.125.170.106,0,128,614,TCP,49743,443,-1,-1,-A---
4609,192.168.1.73,135.125.170.106,0,128,936,TCP,49743,443,-1,-1,-A---
7253,192.40.32.233,192.168.1.73,0,57,40,TCP,443,52934,-1,-1,-AF--
50756,135.125.170.106,192.168.1.73,0,49,40,TCP,443,49743,-1,-1,-A---
50757,135.125.170.106,192.168.1.73,0,49,40,TCP,443,49743,-1,-1,-A---
50758,135.125.170.106,192.168.1.73,0,49,88,TCP,443,49743,-1,-1,-A---
50759,135.125.170.106,192.168.1.73,0,49,1492,TCP,443,49743,-1,-1,-A---
4610,192.168.1.73,135.125.170.106,0,128,40,TCP,49743,443,-1,-1,-A---
50760,135.125.170.106,192.168.1.73,0,49,214,TCP,443,49743,-1,-1,-A---
50761,135.125.170.106,192.168.1.73,0,49,71,TCP,443,49743,-1,-1,-A---
48152,135.125.170.106,192.168.1.73,0,50,40,TCP,443,56541,-1,-1,-A---
4611,192.168.1.73,135.125.170.106,0,128,40,TCP,49743,443,-1,-1,-A---
0,0.0.0.0,255.255.255.255,0,64,576,UDP,68,67,-1,-1,
0,192.168.1.254,255.255.255.255,0,64,314,UDP,67,68,-1,-1,
20851,192.40.32.233,192.168.1.73,0,54,40,TCP,443,52938,-1,-1,-AF--
45593,34.117.228.201,192.168.1.73,0,123,40,TCP,443,61283,-1,-1,-AF--
0,192.168.1.79,255.255.255.255,0,64,248,UDP,49159,6667,-1,-1,
8602,199.250.160.129,192.168.1.73,0,48,40,TCP,443,63927,-1,-1,-AF--
43519,34.117.228.201,192.168.1.73,0,123,40,TCP,443,60882,-1,-1,-AF--
59627,192.168.1.73,35.190.90.30,0,128,41,TCP,52504,443,-1,-1,-A---
33848,3.226.121.246,192.168.1.73,0,249,40,TCP,443,61706,-1,-1,-AF--
4267,35.190.90.30,192.168.1.73,0,123,52,TCP,443,52504,-1,-1,-A---
18407,192.168.1.73,23.208.156.32,0,128,41,TCP,49322,443,-1,-1,-A---
0,23.208.156.32,192.168.1.73,0,60,40,TCP,443,49322,-1,-1,-A---
22492,192.168.1.73,23.208.157.44,0,128,41,TCP,61539,443,-1,-1,-A---
27570,192.168.1.73,3.174.207.88,0,128,1480,TCP,57490,443,-1,-1,-A---
27571,192.168.1.73,3.174.207.88,0,128,287,TCP,57490,443,-1,-1,-A---
0,23.208.157.44,192.168.1.73,0,60,40,TCP,443,61539,-1,-1,-A---
20270,3.174.207.88,192.168.1.73,0,250,40,TCP,443,57490,-1,-1,-A---
27711,192.168.1.73,13.89.178.27,0,128,1169,TCP,62142,443,-1,-1,-A---
27712,192.168.1.73,13.89.178.27,0,128,1480,TCP,62142,443,-1,-1,-A---
27713,192.168.1.73,13.89.178.27,0,128,351,TCP,62142,443,-1,-1,-A---
20271,3.174.207.88,192.168.1.73,0,250,497,TCP,443,57490,-1,-1,-A---
20272,3.174.207.88,192.168.1.73,0,250,71,TCP,443,57490,-1,-1,-A---
27572,192.168.1.73,3.174.207.88,0,128,40,TCP,57490,443,-1,-1,-A---
18649,13.89.178.27,192.168.1.73,0,116,40,TCP,443,62142,-1,-1,-A---
18650,13.89.178.27,192.168.1.73,0,116,486,TCP,443,62142,-1,-1,-A---
27714,192.168.1.73,13.89.178.27,0,128,40,TCP,62142,443,-1,-1,-A---
27573,192.168.1.73,3.174.207.88,0,128,1414,TCP,57490,443,-1,-1,-A---
20273,3.174.207.88,192.168.1.73,0,250,40,TCP,443,57490,-1,-1,-A---
9343,34.117.228.201,192.168.1.73,0,123,40,TCP,443,57571,-1,-1,-AF--
25437,100.24.207.44,192.168.1.73,0,59,79,TCP,443,62543,-1,-1,-A---
25438,100.24.207.44,192.168.1.73,0,59,64,TCP,443,62543,-1,-1,-A---
25439,100.24.207.44,192.168.1.73,0,59,40,TCP,443,62543,-1,-1,-AF--
39264,192.168.1.73,100.24.207.44,0,128,40,TCP,62543,443,-1,-1,-A---
20274,3.174.207.88,192.168.1.73,0,250,499,TCP,443,57490,-1,-1,-A---
20275,3.174.207.88,192.168.1.73,0,250,71,TCP,443,57490,-1,-1,-A---
39265,192.168.1.73,100.24.207.44,0,128,40,TCP,62543,443,-1,-1,-AF--
27574,192.168.1.73,3.174.207.88,0,128,40,TCP,57490,443,-1,-1,-A---
0,192.168.1.65,255.255.255.255,0,64,248,UDP,56627,6667,-1,-1,
25440,100.24.207.44,192.168.1.73,0,59,40,TCP,443,62543,-1,-1,-A---
48308,199.250.160.129,192.168.1.73,0,52,40,TCP,443,53928,-1,-1,-AF--
25441,100.24.207.44,192.168.1.73,0,59,40,TCP,443,62543,-1,-1,-AF--
25442,100.24.207.44,192.168.1.73,0,59,40,TCP,443,62543,-1,-1,-AF--
18408,192.168.1.73,23.208.156.32,0,128,1287,TCP,56717,443,-1,-1,-A---
59942,192.168.1.73,130.211.115.4,0,128,980,TCP,55256,443,-1,-1,-A---
18409,192.168.1.73,23.208.156.32,0,128,79,TCP,56717,443,-1,-1,-A---
59943,192.168.1.73,130.211.115.4,0,128,1460,TCP,55256,443,-1,-1,-A---
59944,192.168.1.73,130.211.115.4,0,128,1460,TCP,55256,443,-1,-1,-A---
59945,192.168.1.73,130.211.115.4,0,128,1460,TCP,55256,443,-1,-1,-A---
59946,192.168.1.73,130.211.115.4,0,128,1460,TCP,55256,443,-1,-1,-A---
59947,192.168.1.73,130.211.115.4,0,128,1460,TCP,55256,443,-1,-1,-A---
59948,192.168.1.73,130.211.115.4,0,128,974,TCP,55256,443,-1,-1,-A---
12889,23.208.156.32,192.168.1.73,0,60,40,TCP,443,56717,-1,-1,-A---
12890,23.208.156.32,192.168.1.73,0,60,40,TCP,443,56717,-1,-1,-A---
12891,23.208.156.32,192.168.1.73,0,60,79,TCP,443,56717,-1,-1,-A---
11001,192.168.1.73,34.160.152.31,0,128,686,TCP,60883,443,-1,-1,-A---
11002,192.168.1.73,34.160.152.31,0,128,1320,TCP,60883,443,-1,-1,-A---
18410,192.168.1.73,23.208.156.32,0,128,40,TCP,56717,443,-1,-1,-A---
3093,34.160.152.31,192.168.1.73,0,123,40,TCP,443,60883,-1,-1,-A---
3094,34.160.152.31,192.168.1.73,0,123,40,TCP,443,60883,-1,-1,-A---
50279,130.211.115.4,192.168.1.73,0,60,40,TCP,443,55256,-1,-1,-A---
50280,130.211.115.4,192.168.1.73,0,60,40,TCP,443,55256,-1,-1,-A---
50281,130.211.115.4,192.168.1.73,0,60,40,TCP,443,55256,-1,-1,-A---
50282,130.211.115.4,192.168.1.73,0,60,336,TCP,443,55256,-1,-1,-A---
12892,23.208.156.32,192.168.1.73,0,60,278,TCP,443,56717,-1,-1,-A---
12893,23.208.156.32,192.168.1.73,0,60,114,TCP,443,56717,-1,-1,-A---
3095,34.160.152.31,192.168.1.73,0,123,106,TCP,443,60883,-1,-1,-A---
3096,34.160.152.31,192.168.1.73,0,123,107,TCP,443,60883,-1,-1,-A---
3097,34.160.152.31,192.168.1.73,0,123,79,TCP,443,60883,-1,-1,-A---
11003,192.168.1.73,34.160.152.31,0,128,40,TCP,60883,443,-1,-1,-A---
11004,192.168.1.73,34.160.152.31,0,128,79,TCP,60883,443,-1,-1,-A---
3098,34.160.152.31,192.168.1.73,0,123,40,TCP,443,60883,-1,-1,-A---
59949,192.168.1.73,130.211.115.4,0,128,40,TCP,55256,443,-1,-1,-A---
18411,192.168.1.73,23.208.156.32,0,128,40,TCP,56717,443,-1,-1,-A---
11005,192.168.1.73,34.160.152.31,0,128,686,TCP,60883,443,-1,-1,-A---
11006,192.168.1.73,34.160.152.31,0,128,1452,TCP,60883,443,-1,-1,-A---
